category,NODE_ID,location,lng,lat,img
bus,100000066,벽산평창힐스아파트,126.972797,37.60819,bus83
bus,100000067,예능교회,126.97,37.606517,bus84
bus,100000068,서울예술고등학교.평창동주민센터,126.9676276108,37.605778760599996,bus85
bus,100000069,화정박물관,126.9648102665,37.6045038178,bus86
bus,100000376,강북삼성병원,126.96860048280001,37.568145926999996,bus87
bus,100000072,독립문역.서대문형무소역사관,126.9593185682,37.5733918848,bus88
bus,100000073,서대문.서울시교육청,126.9645273358,37.5682538056,bus89
bus,100000368,서대문역사거리.적십자병원,126.9675878497,37.5671081521,bus90
bus,100000075,독립문,126.9614303112,37.5713430165,bus91
bus,100000076,창덕궁.서울돈화문국악당,126.98853944790001,37.5775405746,bus92
bus,100000077,서린동.SK서린빌딩,126.9800947893,37.5692639006,bus93
bus,100000078,청계1가.광교,126.9849267193,37.568684389,bus94
bus,100000079,청계2가.수표교,126.99081721610001,37.5684453156,bus95
bus,100000080,청계4가.세운교,126.9965617399,37.568925402800005,bus96
bus,100000081,청계5가.광장시장,126.9997973605,37.5694512793,bus97
bus,100000102,원남동,126.9973383362,37.5745325055,bus98
bus,100000103,창덕궁.우리소리박물관,126.9889538872,37.5772726542,bus99
bus,100000104,안국역.인사동,126.9841344381,37.575798979,bus100
bus,100000105,조계사.종로경찰서,126.98315558030001,37.572522309499995,bus101
bus,100000106,조계사.종로경찰서,126.9828258888,37.5724858087,bus102
bus,100000107,안국동,126.9827201116,37.5746105669,bus103
bus,100000108,종로5가.효제동.김상옥의거터,127.00223000000001,37.5745,bus104
bus,100000109,종로5가.효제초등학교,127.0021442279,37.572879013299996,bus105
bus,100000414,창덕궁.돈화문국악당,126.991234977,37.5774327721,bus106
bus,100000116,종로5가,127.00218265219999,37.5705596025,bus107
bus,100000117,청계6가.동대문시장,127.00284942030001,37.569835110300005,bus108
bus,100000118,동대문,127.00841262520001,37.5717262368,bus109
bus,100000119,충신동,127.006278812,37.5740223509,bus110
bus,100000121,충신동,127.0063433807,37.5744602778,bus111
bus,100000122,현대그룹빌딩,127.0008065808,37.5759104142,bus112
bus,100000123,방송통신대.이화장,127.00243700000001,37.578043,bus113
bus,100000124,혜화역.마로니에공원,127.0022769364,37.5811194873,bus114
bus,100000125,혜화역.서울대병원입구,127.0018481852,37.5809559696,bus115
bus,100000126,방송통신대.이화장,127.0019782952,37.5777889737,bus116
bus,100000127,이화동(이화장),127.0006951494,37.576119355,bus117
bus,100000128,창경궁.서울대학교병원,126.9968717143,37.5788279947,bus118
