category,location,lat,lng,img
emergency_bell,15-5001,37.560829999999996,127.16033,
emergency_bell,15-5016,37.56208,127.1571,
emergency_bell,15-5005,37.556740000000005,127.15868,
emergency_bell,15-5002,37.55858,127.1517,
emergency_bell,04-0021,37.55372,127.15603999999999,
emergency_bell,04-0020,37.55243,127.15657,
emergency_bell,04-0002,37.5497,127.1475,
emergency_bell,04-0022,37.54303,127.13221999999999,
emergency_bell,15-5015,37.55213,127.13056999999999,
emergency_bell,15-5018,37.55,127.12553999999999,
emergency_bell,34-2019,37.538940000000004,127.13295,
emergency_bell,15-5019,37.527,127.12095,
emergency_bell,15-5011,37.55154,127.1639,
emergency_bell,15-5012,37.55748,127.13053000000001,
emergency_bell,15-5013,37.55903,127.13105,
emergency_bell,15-5016,37.56033,127.16221999999999,
emergency_bell,15-5014,37.55362,127.13573999999998,
emergency_bell,15-5017,37.55663,127.17442,
emergency_bell,15-5009,37.56072,127.14543,
emergency_bell,화장실-001호,37.53042,127.122831,
emergency_bell,화장실-002호,37.538243,127.123718,
emergency_bell,화장실-003호,37.534538,127.13613500000001,
emergency_bell,화장실-004호,37.535255,127.13930400000001,
emergency_bell,화장실-005호,37.534802,127.13778500000001,
emergency_bell,화장실-006호,37.535398,127.1363,
emergency_bell,화장실-007호,37.53673,127.13132399999999,
emergency_bell,화장실-008호,37.536764,127.13129199999999,
emergency_bell,화장실-009호,37.537448,127.129451,
emergency_bell,화장실-010호,37.531946999999995,127.14025600000001,
emergency_bell,화장실-011호,37.531946999999995,127.14025600000001,
emergency_bell,화장실-012호,37.540684999999996,127.12495,
emergency_bell,화장실-013호,37.550351,127.128194,
emergency_bell,화장실-014호,37.551091,127.128069,
emergency_bell,화장실-015호,37.551373,127.128133,
emergency_bell,화장실-016호,37.55239,127.12788700000002,
emergency_bell,화장실-017호,37.551737,127.127721,
emergency_bell,화장실-018호,37.550146999999996,127.12715800000001,
emergency_bell,화장실-019호,37.539409,127.12255400000001,
emergency_bell,화장실-020호,37.553132,127.14381000000002,
emergency_bell,화장실-021호,37.534347,127.1365,
emergency_bell,화장실-022호,37.541433000000005,127.1408,
emergency_bell,화장실-023호,37.534807,127.13809199999999,
emergency_bell,방범-강일동-011,37.5632,127.17218999999999,
emergency_bell,방범-강일동-012,37.565509999999996,127.17258000000001,
emergency_bell,방범-강일동-013,37.56842,127.17431,
emergency_bell,방범-상일2동-004,37.55825,127.17981,
emergency_bell,방범-상일2동-005,37.55113,127.17918,
emergency_bell,방범-강일동-015,37.55805,127.17334,
emergency_bell,스쿨존-강일동-004,37.563140000000004,127.17846999999999,
emergency_bell,방범-강일동-006,37.55787,127.17653999999999,
emergency_bell,스쿨존-상일2동-004,37.555620000000005,127.17366000000001,
emergency_bell,스쿨존-강일동-007,37.5622,127.17971999999999,
emergency_bell,스쿨존-고덕2동-001,37.56146,127.16573999999999,
emergency_bell,방범-고덕2동-015,37.56178,127.16633,
emergency_bell,방범-고덕2동-024,37.560190000000006,127.16593999999999,
emergency_bell,방범-고덕2동-001,37.562020000000004,127.16766000000001,
emergency_bell,스쿨존-고덕2동-002,37.56108,127.16757,
emergency_bell,방범-고덕2동-022,37.562129999999996,127.16973999999999,
emergency_bell,방범-고덕2동-010,37.561370000000004,127.16883999999999,
emergency_bell,방범-둔촌2동-017,37.53309,127.14045,
emergency_bell,방범-둔촌2동-014,37.532270000000004,127.14043999999998,
emergency_bell,방범-둔촌2동-028,37.533840000000005,127.13821999999999,
emergency_bell,방범-천호1동-048,37.54445,127.13678999999999,
emergency_bell,방범-천호1동-057,37.54354,127.13637,
emergency_bell,방범-천호1동-014,37.54425,127.13581,
emergency_bell,방범-천호1동-031,37.54351,127.13493999999999,
emergency_bell,방범-천호1동-047,37.5429,127.13557,
emergency_bell,방범-천호3동-024,37.542970000000004,127.13638,
emergency_bell,방범-천호3동-048,37.54291,127.13725,
emergency_bell,방범-천호3동-044,37.54186,127.13739,
emergency_bell,방범-천호3동-015,37.54211,127.13656,
emergency_bell,방범-천호3동-022,37.540420000000005,127.13581,
emergency_bell,방범-천호3동-001,37.541709999999995,127.13597,
emergency_bell,방범-천호3동-017,37.54122,127.13571,
emergency_bell,방범-천호3동-041,37.541740000000004,127.13485,
emergency_bell,방범-천호3동-047,37.540079999999996,127.13508,
emergency_bell,방범-천호3동-035,37.53792,127.13269,
emergency_bell,방범-천호3동-002,37.53882,127.13101999999999,
emergency_bell,방범-천호3동-033,37.53915,127.13152,
emergency_bell,방범-천호3동-028,37.539320000000004,127.13096999999999,
emergency_bell,방범-천호3동-004,37.539590000000004,127.13413999999999,
emergency_bell,방범-천호3동-034,37.539120000000004,127.13346000000001,
emergency_bell,방범-천호3동-005,37.54025,127.13235,
emergency_bell,방범-천호3동-003,37.538920000000005,127.13253,
emergency_bell,공원관리-천호3동-001,37.53888,127.13327,
emergency_bell,방범-천호3동-042,37.540620000000004,127.13336000000001,
emergency_bell,방범-천호3동-023,37.53954,127.13503,
emergency_bell,방범-천호3동-006,37.54076,127.13466000000001,
emergency_bell,스쿨존-천호3동-004,37.54083,127.13377,
emergency_bell,방범-천호3동-046,37.53994,127.13112,
emergency_bell,방범-천호3동-032,37.54045,127.13153,
emergency_bell,방범-천호3동-021,37.540279999999996,127.1318,
emergency_bell,방범-천호3동-045,37.541,127.1325,
emergency_bell,방범-길동-005,37.54377,127.14618999999999,
emergency_bell,방범-길동-006,37.54299,127.14543,
emergency_bell,방범-길동-007,37.54198,127.14551000000002,
emergency_bell,방범-길동-008,37.54146,127.14408,
emergency_bell,방범-길동-058,37.5441,127.14485,
emergency_bell,방범-길동-065,37.542640000000006,127.14679,
emergency_bell,방범-길동-024,37.543459999999996,127.14481,
emergency_bell,스쿨존-길동-013,37.543,127.14282,
emergency_bell,방범-길동-034,37.54202,127.14295,
emergency_bell,방범-길동-057,37.54237,127.14372,
emergency_bell,공원관리-길동-001,37.54195,127.14549,
emergency_bell,방범-길동-068,37.54126,127.14606,
emergency_bell,방범-길동-009,37.54172,127.14245,
emergency_bell,방범-길동-067,37.54039,127.14181,
emergency_bell,방범-길동-051,37.54023,127.14513000000001,
emergency_bell,방범-길동-010,37.54016,127.1439,
emergency_bell,방범-길동-011,37.54022,127.14293,
emergency_bell,방범-길동-059,37.5396,127.14326000000001,
emergency_bell,방범-길동-054,37.539320000000004,127.14246999999999,
emergency_bell,방범-길동-037,37.53868,127.14289,
emergency_bell,방범-길동-012,37.53926,127.14468000000001,
emergency_bell,스쿨존-길동-001,37.53768,127.14523999999999,
emergency_bell,스쿨존-길동-002,37.537890000000004,127.14431,
emergency_bell,스쿨존-길동-003,37.538470000000004,127.14546999999999,
emergency_bell,공원관리-길동-002,37.53897,127.14225,
emergency_bell,방범-길동-013,37.53849,127.14123000000001,
emergency_bell,방범-길동-014,37.54018,127.13743000000001,
emergency_bell,방범-길동-015,37.539,127.13883999999999,
emergency_bell,방범-길동-016,37.53857,127.13736999999999,
emergency_bell,스쿨존-길동-018,37.53948,127.13706,
