Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
Record Player,니브 (NIve),36983526,2023.11.20,220,"I’m your record player
Play me away
Sorry I left you
I didn’t mean to
Will you forgive me
Or will you not play me
I kept on running
I was so scared
And you never called me
Yeah I understand
Can you forgive me, hmm
Or am I just too late, hmm

I didn’t mean to walk away
Forever, I was gonna stay here forever

Late night, yeah I just miss you
I miss every smile you gave away
Sorry, will you just come back to me
Yeah I know it’s not possible
So I’ll play the song tonight
You used to call me I’m your record player
I know it’s too late to apologize
To apologize
So hear my heartbeat
So hear my heartbeat, hmm

Like toy soldier
I used to fight for you
Again and again
But somewhere along
I lost my way to you, somehow
I didn’t know how I got here so far away
So far away from you
I just miss you tonight
Yeah I, you were my everything

Late night, I just miss you
I miss all the smiles you gave away
Sorry, will you just come back to me
Yeah I know it’s not possible
So I’ll play the song tonight
You used to call me I’m your record player
I know it’s too late to apologize
To apologize
So hear my heartbeat
So hear my heartbeat

Sorry, I never missed you
So you can forget about me
I won’t blame it on you
Hmm, I won’t blame it on you, woah
I’m sorry
Will you just come back to me
Sorry
Will you just come back to me
Sorry
Will you just come back to me
Yeah I know it’s not possible
Yeah I know it’s not possible"
헤이 산타!,웨스턴 카잇 (Western Kite),36980864,2023.11.20,445,"여름 지나 느지막이 고갤 든
피어버린 꽃 하나에
느리지만 깊어질 내 맘 같아
널 알아온 시간 속에도
벌써 자라는 나인데
그게 시작만 같아 난 참 좋았어
시들지도 않고
영원히 간직될 거라
그렇게 너와 나 읽던
종이 그 사이에 말려두었지
영원할 것 처럼
But it comes and goes
Everything comes and goes
바래져가는데
나만 그 자리에
Everything comes and goes
Everything comes and goes
바래져가는데
나만 그 자리
그게 우리만 같아 난 참 좋았어
시들지도 않고
영원히 간직될 거라
그렇게 너와 나 읽던
종이 그 사이에 말려 두었지
영원할 것 처럼
Everything comes and goes
다 comes and goes
오고 가는 계절에도
It comes and goes
다 comes and goes
난 몰랐었어
이별이 오는 줄
Comes and goes
다 comes and goes
오고 가는 계절에도
난 몰랐었어
다 믿었었어"
꽃잎,g0nny (거니),36981371,2023.11.20,101,"한강다리 건너
너에게 좀 더 가까워
질 수만 있다면야
멈추지 않아도 돼
한강다릴 건너
너에게 가고 있어
조금만 더 기다려줄래
내 꿈이 있어
저 한강다리 건너
내 꿈이 있어
조금만 더 가면
나는 더 빨리 달릴 거야
너에게 가까워
질 수만 있다면야

자동차가 내 옆을 가로질러
자전거는 비키라고 소리 질러
나만 이 다리가 길어
보이는 건가 싶어
속도는 느린 것 같아
오늘 하룬 도시라솔파
나에게 이런 날이 있을 때면
너에게 달려가
저기 너머 불빛으로
어두운 내 방과
시끄러운 네온사인을 피해서
조금 더 가다가
네가 흐릿하게
보일 때쯤에서야
다시 꿈을 꿔

한강다리 건너
너에게 좀 더 가까워
질 수만 있다면야
멈추지 않아도 돼
한강다릴 건너
너에게 가고 있어
조금만 더 기다려줄래
내 꿈이 있어
저 한강다리 건너
내 꿈이 있어
조금만 더 가면
나는 더 빨리 달릴 거야
너에게 가까워
질 수만 있다면야

아무도 알려주지 않는 걸
저 끝엔 뭐가 있을지
아무도 알려주지 않아도 난 더
가까워질 수만 있다면

내 꿈이 있어
저 한강다리 건너
내 꿈이 있어
조금만 더 가면
나는 더 빨리 달릴 거야
너에게 가까워
질 수만 있다면야"
항해,윈터 (WINTER),36979954,2023.11.20,78,"시간이 지나고 다시 밤이 와도 it's ok
속은 듯 안 속은 듯
우리는 알지

다시 한번의 이별에 우리는 nothing
너의 옷차림마저 까먹으면 내겐 남는게 없는데

미세한 내 손 떨림이
멈추면 까먹어 의미를
나도 모르겠다고
이젠 할 말 없다고
well, baby I'm so lonely
말했잖아 I'm sorry
복잡해진 머리
괜찮을까 너 없이
사랑한다는 말을 담보로 you take me

하루가 지나가 널 잊을까봐 두려웠나
마지막인가봐 여기까지야
더는 볼 수 없나봐
할말이 넘 많아
시간을 붙잡아놓고 너에게 말하고 있잖아
할말이 넘 많아
시간을 붙잡았더라면 지금의 넌 미소지을까

시간이 지나면 너는 미소지을까 이런 나에게
뻔하게 말하면 해준게 없는데 너는 왜 나에게
그런 표정을 지어 너무 아프다고 그런
표정으로 날 보면
넌 왜 이런 나를 계속 사랑해
oh wait 나는 왜 널 계속 밀어내
그러고 싶은건 아닌데
내 마음처럼 잘 안돼
넌 이런 나를 이해해 주지마
다신 그러지마 그 누구에게도
넌 더 큰 사랑 받아야 하니까
사랑한다는 말들을 담보로
했던 말들을 믿지마
어느새 시간이 지나면 후회할거야 서로
하루하루 지나가기 전에

하루가 지나가 널 잊을까봐 두려웠나
마지막인가봐 여기까지야
더는 볼 수 없나봐
할말이 넘 많아
시간을 붙잡아놓고 너에게 말하고 있잖아
할말이 넘 많아
시간을 붙잡았더라면 지금의 넌 미소지을까"
하루가 (feat. OLNL),차우주,36980847,2023.11.20,33,"woo boy
you look a little tipsy, yeah
you want to drink more babe, oh
I wanna grab the ribbon in the sky
oh baby
so I’ll let you go

I don’t want you calling me back
you know how I feel
I don’t want you
to tell me you love me again

“baby call me
baby call me
baby call me”

I don’t want you calling me
now is not the a time

he said,
please, you gotta back to me
and I just want you to keep in mind
that I don’t love you anymore
oh baby,
I’m trying to push you away like this

I wouldn’t stay
I’m gonna back to my rhythm
boy, you want me, but
I wanna different beat

(still) I wanna give you my heart
I wanna feel your skin
but I need a distance
I wanna give love
to me

I don’t want you calling me back
you know how feel
I don’t want you
to tell me you love me again

“baby call me
baby call me
baby call me”

I don’t want you calling me
now is not the a time

he said,
please, you gotta back to me
and I just want you to keep in mind
that I don’t love you anymore
oh baby,
I’m trying to push you away like this

he said,
please, you gotta back to me
and I just want you to keep in mind
that I don’t love you anymore
oh baby,
I’m trying to push you away like this"
Talk To Me Nice (feat. RUDALS),RAUDI,36980581,2023.11.19,70,"Everyday, wow
오늘같은 기분 좋아 난
And Everything, wow
I just wanna sing all day uh oh (둠데루빠빠)
Everyday wow
오늘만은 날 위한 축제를 열어
Everywhere, all day wow

I got this a little break
반복되는 일상에 feel like (umm..)
도로위를 fly, but 또 습관처럼 I'm down
지루한 하루속에 리듬따윈 없는걸
until the end, 또 Run 해

I just know
선명한 이 밤 (wow-wow-wow) 전부뒤로하고 Let's Drive
Don't waste, 한 걸음 더 over
난 조금씩 (alright)
I'm gonna say ""wow""

Everyday, wow
오늘같은 기분 좋아 난
And Everything, wow
I just wanna sing all day uh oh (둠데루빠빠)
Everyday wow
오늘만은 날 위한 축제를 열어
Everywhere, all day wow

Everyday, everywhere wow-wow yeah
나 천천히 groovin'
Everyday, where i go
said ""wow“
잘 봐 나만의 play

Man give a little break
아니 어딜 향해 달려가는지
좌표는 찍고 가야할거 아냐
우린 경주 말이 아냐
앞만 보고 달려가다 벽을 마주하면
(음 어쩔거야?)
Everyday like Christmas day
비밀은 사실 쉼 속에 있는데
내 말을 잘 들으려고 하질않네
들을 귀 있는 자들은 듣겠지만 dang
답은 멀리 있지 않아
문제 많은 사람들은
내 이름을 자세히 봐봐
I'll give you a lesson Jes
U.S 처럼 흩어져있는 것
같지만 we are one
We do sing ayday
To our king ayday
Daddy daddy I I
둠다리 die I
내가 죽어야만 당신이 살아
갈아 넣어 만들지 않아도 돼
난 영혼 안팔아
범사가 잘 되는 지름길은 감사
(thank you I got saved)

Everyday, wow
오늘같은 기분 좋아 난
And Everything, wow
I just wanna sing all day uh oh (둠데루빠빠)
Everyday wow
오늘만은 날 위한 축제를 열어
Everywhere, all day wow
Everyday, wow
오늘같은 기분 좋아 난
And Everything, wow
I just wanna sing all day uh oh (둠데루빠빠)
Everyday wow
오늘만은 날 위한 축제를 열어
Everywhere, all day wow"
그댈 향해 말해요,정이한 (더 넛츠),36978815,2023.11.19,121,"내게도 그런 날이 오겠지
입맛은 바뀐다니까
헛된기대뿐 인 걸까
누가 보기엔 어리석지만
고작 할 수 있는 건 이거라
마냥 기다리기만
표현하는 건 좀 서툴러서
말로는 못하지만
오늘도 내 맘은 영업 중
하루도 빠짐없이 찾아와 흔들 또 흔들
덕분에 열일 중
오늘도 내 맘을 영업 중
하루도 빠짐없이 찾아와 흔들 또 흔들
매일 흔들리는 중
보나 마나 날 보면 웃을게 뻔한데
똑같이웃어주기는 힘들 것 같아서
해맑은 눈빛 속에서 난 무얼 기대했는지
그 흔한 미소도 주지 못해선
하루를 보내는 건
널 놓치는 걸까
하고 잠 못 들지만
오늘도 내 맘은 영업 중
하루도 빠짐없이 찾아와 흔들 또 흔들
덕분에 열일 중
오늘도 내 맘을 영업 중
하루도 빠짐없이 찾아와 흔들 또 흔들
매일 흔들리는 중"
돌멩이,임세모,36979898,2023.11.18,"36,710","I don’t wanna go
Till everything comes crashing down
(나는 어디에도 가지 않을거야 모든 것이 무너지기전까진)

You’re the one I want
When everything comes crashing down
(모든것이 무너질때, 넌 내가 원하는 유일한 사람이야)

그냥 왜인지 난
너가 돌아올 것 같은데

I don’t wanna go
Till everything comes crashing down
(나는 어디에도 가지 않을거야 모든 것이 무너지기전까진)

You’re the one I want
When everything comes crashing down
(모든것이 무너질때, 넌 내가 원하는 유일한 사람이야)

Could you tell me once again, again?
(한번만 더 말해 줄 수 있어?)

Oh-oh-oh

널 안아줬던
그 날 처럼
오늘도 비가 오고 있어

Could you kill me once again, again?
(한번만 더 날 죽여줄 수 있어?)

Oh-oh-oh

Cuz I know, I know
I’ll be loving you
I’ll be loving you
(왜냐면 난 알거든 내가 널 계속 사랑할거라는걸)

I’m still loving you
(난 아직 널 사랑해)

Baby you know I’d die for you
(알잖아 난 널 위해서라면 죽을수도 있어)

네가 떠오르면 나는 미쳐
사실 아직 안믿겨
늦었을지도
모르지만
Let you know

어떤 멜로디도
그 어떤 스토리도 내겐
네 잔상일 뿐인데

I know it is way too late
(너무 늦은걸 알지만)

I know it is way too crazy
(너무 미친소리인걸 알지만)

But if you give me one more chance
(하지만 너가 내게 한번 더 기회를 준다면)

Could you tell me once again, again?
(한번만 더 말해 줄 수 있어?)

Oh-oh-oh

날 떠나갔던
그 날부터
하루도 잊은적 없어 난

Could you kill me once again, again?
(한번만 더 날 죽여줄 수 있어?)

Oh-oh-oh

Cuz I know, you know
I’ll be loving you
I’ll be loving you
(왜냐면 난 알거든 너도 알잖아 내가 널 계속 사랑할거라는걸)

What’s wrong?
Baby you know I’d die for you
(뭐가 문제야? 알잖아 자기야 난 널 위해서라면 죽어줄수도 있다는거)

I would die for you
I would die for you
I would die for you
I would die for you
(죽을수도 있어 널 위해서라면)"
OXO,Pagaehun (박태훈),36979804,2023.11.18,989,"먼지 대신 눈이 쌓인 저 잔디밭같이
이미 옷을 벗어버린 앙상한 나뭇가지
조금 있다 연락할게 아 오늘은 안될 것 같아
Don't be cruel tell me that's not true
길거리 위 내 손이 꽤 자유로워도
잔인하리 만큼 혼자인 게 싫어도
울면 안 돼 그쳐 i’m fine don’t care
괜찮지, 오늘만큼은 더 괜찮아
딱 크리스마스까지야
Oh I've been looking (ai ai ya)
모든 입꼬리가 떨어질 생각도 없는 미소뿐이야
또 I've been looking (ai ai ya)
이 종소리가 약 올리는 것 만 같아 진절머리 나
다 어디로 갔나 나만 쏙 빼놓고
나 홀로 집에서 겨울잠 자려고
혼자라도 뭐 어떡해 오늘 하루 잠깐인데
마음껏 놀아둬 시간은 가니깐
찬바람에 목도리를 혼자 둘러도
눈보라에 내 맘이 얼어버려도
I don't care it's lonely holy molly
oh there might be someone could be waiting for me
딱 Christmas까지야
Oh I've been looking (ai ai ya)
모든 입꼬리가 떨어질 생각도 없는 미소뿐이야
또 I've been looking (ai ai ya)
이 종소리가 약 올리는 것 만 같아 진절머리 나"
Happy Christmas (ㅠㅠ),그래쓰 (GRASS),36978852,2023.11.18,195,"love
love is mine
달콤해서 온몸이 떨려와
물어 본 다면
뭐가 됐든 말해줄께 난

come at 1 2 3
좀 더 가까이
다가와줘 한 걸음걸음씩
눈을 감고 just drown in love baby
궁금해 네 마음은 어떨지


내 마음 속은 구름처럼 떠올라
Fly so High
홀린듯이 날 이끌게 만들어


little closer
너무 좋은 지금 느낌은
you make me blush up blush up
hold me smoother
내 마음이 떨릴땐
꼭 안아줘


you get you get me
blushed
너를 원해
blushed
you make me blush up


she make me blush up
don't wanna wake up
이대로 너와함께 난
oh wait
이제 와서야
깨달아버린걸
너말곤 아무런 의미없어

come 1 2 3
좀 더 가까이
다가와줘요 그렇게 Slowly
눈을 맞추며 drown in love baby
궁금해 네 마음이 어떤지


내 입꼬리는 구름처럼 떠올라
saying out loud
홀린듯이 날 이끌게 만들어


little closer
너무 좋은 지금 느낌은
you make me blush up blush up
hold me smoother
내 마음이 떨릴땐
꼭 안아줘


you get you get me
blushed
너를 원해
blushed
you make me blush up"
