Title,Singer,Song_ID,Release_Date,Like_Count,Lyrics
Drive,BALDU (발듀),36984858,2023.11.21,31,"따뜻한 햇살 시원한 바람
내 옆엔 네가 완벽하게 있는걸
더 이상 뭘 바라겠어 이렇게 눈부신 날에

함께 있어도 함께 있고픈
너는 나에게 유일한 쉼터
너와 나만의 여행을 떠나
자 이제 짐을 챙겨

My baby, my sweety, my lover, my treasure
모든 참견은 여기에 놔두고 떠나
오늘은 다 잊고 해맑은 아이처럼 놀자
모든 고민은 여기에 버리고 한 편의 영화 속처럼 떠나

보고있어도 늘 보고 싶은
나만의 그대가 원하는 대로
시끄러운 일상을 뒤로하고
자 이제 짐을 챙겨

My baby, my sweety, my lover, my treasure
모든 참견은 여기에 놔두고 떠나
오늘은 다 잊고 해맑은 아이처럼 놀자
모든 고민은 여기에 버리고 한 편의 영화 속처럼

끝나지 않을 우리만의 노래 속에서 춤을 추자
이 영화가 끝난 후에도 잊혀지지 않도록

My baby, my sweety, my lover, my treasure
모든 참견은 여기에 놔두고 떠나
오늘은 다 잊고 해맑은 아이처럼 놀자
모든 고민은 여기에 버리고 한 편의 영화 속처럼 떠나"
Because of U,잭더라즈 (Jack the lads),36981649,2023.11.21,30,"내 마음이 너에게로 간 듯해 babe
내 눈이 또 너를 보고 있잖아 이미

널 처음봤을 때 아무렇지 않던 내가
지금은 이해 안돼 날 어떻게 한 거야
널 처음봤을 때 아무생각 없던 내가
지금 너 때문에 아무것도 못하겠어

All is because of you
하루 온 종일 생각해
because of you
일이 손에 잘 안잡혀
because of you
내 모든 게 다 변했어
because of you Yeah that’s because of you

내 몸이 또 너를 향해 있잖아 babe
내 손이 어쩔줄 몰라 하잖아 이미

널 처음봤을 때 아무렇지 않던 내가
지금은 이해 안돼 날 어떻게 한 거야
널 처음봤을 때 아무생각 없던 내가
지금 너 때문에 아무것도 못하겠어

All is because of you
하루 온 종일 생각해
because of you
일이 손에 잘 안잡혀
because of you
내 모든 게 다 변했어
because of you yeah that’s because of you
my world is you babe
Everything is you
my world is you babe
Everything is you
my world is you babe
Everything is you
my world is you
Everything is you

언제부터 일까 생각해 (I wonder wonder wonder)
네 모든게 궁금해진게

All is because of you
하루 온 종일 생각해
because of you
일이 손에 잘 안잡혀
because of you
내 모든 게 다 변했어
because of you yeah that’s because of you

my world is you babe
Everything is you
my world is you babe
Everything is you
my world is you babe
Everything is you
my world is you
Everything is you

come in to my world babe come back to my earth
come in to my world babe come back to my earth
come in to my world babe come back to my earth
come in to my world babe come back to my earth"
파도,장덕철,36979806,2023.11.20,15,"불 켜진 도시 위에 나는 a liar
텅 빈 방에 혼자 a wire
빙글 빙글 어지러워 난
답답한 빌딩 숲을 달려 a runner
참지 못한 화를 the fire
돌고 돌아 제자리야 난
이 미친 세상은
조금도 자비가 없어
이 미친 세상은 oh my God
이 미친 세상은 모든 게 oh my God
조금의 조금도 다르면 안돼
더딘 춤을 추는 a loser
어리석게 반은 a fighter
말 한마디 뱉지 못해 난
차가운 꿈속을 헤집어 a diver
모른 척 지나쳐 a lover
지친 세상 다음이 없어
이 미친 세상은
조금도 자비가 없어
이 미친 세상은 oh my God
이 미친 세상은 모든 게 oh my God
조금의 조금도 다르면 안돼
이 미친 세상은
오늘도 거짓말을 해
이 미친 세상은 oh my God
이 미친 세상은 모든 게 oh my God
조금의 조금도 다르면 안돼"
Austin (Feat. 안병웅),키츠요지 (kitsyojii),36978824,2023.11.18,186,"자기야 오늘은 자고 가
날이 많이 추우니까
아니 너무 늦었으니까
할증 끝날 때까지라도
잠깐만 누워 있자
허튼짓 안 할 테니까
그냥 손만 잡고 있을게
아잇 잠깐만 이리 와봐
자기야 오늘은 자고 가
날이 많이 추우니까
네가 코를 골아도 양칠 안 했어도
애꿎은 장난에 내 몸에 멍이 가득해도
괜찮아
이리 와 잠깐 누워 있자
난 다 괜찮다니까
아니 그렇게 걱정되면
차라리 날 묶어놔도 돼
그런 취향 아닌 거 알지만
이러다 손도 못 잡고 그냥
첫 차 타겠어
자기야 오늘은 자고 가
날이 많이 추우니까
네가 코를 골아도 양칠 안 했어도
애꿎은 장난에 내 몸에 멍이 가득해도
괜찮아
등을 돌리고 자면
뒤에서 안아 줄게
그러다 나란히 누우면
입을 맞춰 줄게
언제나 너보다
먼저 너를 볼게
난 다 괜찮아
너의 못된 잠버릇까지 모두
자기야 오늘은 자고 가
날이 많이 추우니까
네가 코를 골아도 양칠 안 했어도
애꿎은 장난에 내 몸에 멍이 가득해도
괜찮아
자기야 오늘은 자고 가
날이 많이 추우니까"
적색편이 (赤色偏移),TNDR,36979899,2023.11.18,9,"어두운 바닷가 홀로 나는 새야 (새야)
갈 곳을 잃었나 하얀 바다새야 (우-)
힘없는 소리로 홀로 우는 새야 (새야)
내 짝을 잃었나 하얀 바다새야 (우-)

모두 다 가고 없는데
바다도 잠이 드는데
새는 왜 날갯짓하며
저렇게 날아만 다닐까

새야 해지고 어두운데
새야 어디로 떠나갈까
새야 달마저 기우는데
새야 아픈 맘 어이하나

(어두운 바닷가 홀로 나는 새야) 새야
(갈 곳을 잃었나 하얀 바다새야) 우-

모두 다 가고 없는데
바다도 잠이 드는데
새는 왜 날갯짓하며
저렇게 날아만 다닐까

새야- 우- 우-

해지고 어두운데
새야 어디로 떠나갈까
새야 달마저 기우는데
새야 아픈 맘 어이하나

새야 해지고 어두운데
새야 어디로 떠나갈까
새야 달마저 기우는데
새야 아픈 맘 어이하나

(새야 해지고 어두운데)
(새야 어디로 떠나갈까) 떠나갈까
(새야 달마저 기우는데)
(새야) 아픈 맘 어이하나

어이하나"
Sweet Venom,ENHYPEN,36978040,2023.11.17,"3,421","You owe me sleep
Cause I’ve been
on the phone with you
for 24 hours of my day
Seoul to LA

Wish you’d stop calling me
Cause you got me distracted
by the cutest little things that you say
Am I stupid for falling
Cause you’re a million miles away

Don’t have wings But I’m flying
There’s no perfect timing
To fall from the sky with no parachute

This could turn into something
So I’ll climb the mountain
I’ll do anything to get back to you

Life is but a dream
We got history
(I just wanna)
Feel the chemistry
Feel you next to me
(You know that I)

Hate this distance
Cause I’m just left here singing

Lonely harmony’s
Broken Melodies
Love drunk energy
I’m in ocean deep
Oh I hate this distance
And I hate singing

I’m wide awake
Yeah I been trying to sleep
But when reality sinks in deep

I can’t breathe
Like I’m stuck in a dream
Where my mind is awake
But my body’s asleep

And I
got memories ingrained
in my mind
And I relive ‘em every night

You’re not here
When I’m grieving your touch
And the melody’s clear
But it’s broken like us

공허해 난 너 없인
완전할 수 없지
듣고 싶지 않은 소음일 뿐

닿지 못한 그 Something
미완성의 우리
I’ll do anything to get back to you

Life is but a dream
We got history
(I just wanna)
Feel the chemistry
Feel you next to me
(You know that I)

Hate this distance
Cause I’m just left here singing

Lonely harmony’s
Broken Melodies
Love drunk energy
I’m in ocean deep
Oh I hate this distance
And I hate singing
Broken Melodies

Ah Don’t have wings But I’m flying
There’s no perfect timing
This could turn into something

Let’s turn it into something yeah
Green light I’m ready to go

달려갈게 지금 네게로
힘껏 뛰어들어 초록빛으로
I ain’t scared no more
uh 난 너에게로 Dive in yeah

Even when the skies are grey and
We don’t see the light of day I
Keep fighting 모두 뺏긴 채
종말 앞에 내게 쏟아지는
Purple rain ah
Don’t need protection
희망의 절벽 끝에선
네 미소 하나면 돼
I will never die
Guess I finally get back to you

Life is but a dream
We got history
(I just wanna)
Feel the chemistry
Feel you next to me
(You know that I)

Hate this distance
Cause I’m just left here singing

Lonely harmony’s
Broken Melodies
Love drunk energy
I’m in ocean deep
Oh I hate this distance
And I hate singing
Broken Melodies"
내가 잊지 못할 사람,라밋(Ramit),36977407,2023.11.16,163,"난 병든 표정 지으면서
널 만나러 갔어 우울한 기분

난 이따금 알 수 없어져
아니 모르고 싶어 무력한 기분

이런 나에게 그저 괜찮다고 말해
주는 너는
오래전부터 찾고 있었던 그대라는 눈부신 뜻

너와 오랫동안 함께하길
이 맘 고이 접어 넣어두면
힘든 날 혼자서 펴보면서
약속들을 되새기고

모두 영원할 순 없겠지만
잠시 슬픈 일은 접어두고
지금의 서로를 바라봐요
난 기쁜 것만 기록해요

그대와
언제나
영원히
라라라

오랫동안 함께해도
이 맘 변치 않고 전할 테요
먼 훗 날 둘이서 나눠보면
잊었던걸 추억하고

마치 영원할 듯 믿고 있죠
결국 행복해진 소설처럼
그렇게 시간을 이겨내요
난 슬픈 꿈은 잊을게요

어떤날
꿈에 본
제라늄.
라라라"
Stay High,Kim Addict (킴 애딕),36974120,2023.11.16,88,"길을 걸었지 누군가 옆에 있다고
느꼈을 때 나는 알아버렸네
이미 그대 떠난 후라는 걸
나는 혼자 걷고 있던거지
갑자기 바람이 차가와 지네

마음은 얼고 나는 그 곳에 서서
조금도 움직일 수 없었지
마치 얼어버린 사람처럼
나는 놀라서 있던거지
달빛이 숨어 흐느끼고 있네

아 떠나버린 그 사람 아 생각나네
아 돌아선 그 사람 아 생각나네

묻지 않았지 왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔수 없었지
미운건 오히려 나였어

아 떠나버린 그 사람 아 생각나네
아 돌아선 그 사람 아 생각나네

묻지 않았지 왜 나를 떠나느냐고
하지만 마음 너무 아팠네
이미 그대 돌아서 있는 걸
혼자 어쩔수 없었지
미운건 오히려 나였어"
Oops (Feat. YOSI),비버 (Beaver),36969488,2023.11.15,844,"큰 흠집을 내어 들어가
이곳엔 네가 살까
먼발치에 슬픔의 출처가
상처 틈 사이 피어난 짙은 추억의 흔적
허파에 적힌 그 무엇이 네 진심의 증거
숨 쉴 때마다 기억해 내 난
-""사랑해 사랑해 사랑해""-

나는 상처투성이

내 영혼에 낸 Scratch
널 잊지 않을 게
아물지 않게 더 찢고
파고드는 널 담고 피를 흘렸네
상상 속의 Dress
잠식해 오는 아름다웠던 그대
내 영혼에 낸 Scratch
내 영혼에 낸 Scratch
내 영혼에 낸 Scratch

누군지 모를 형체가 또 스쳐 가
잊고 싶지 않은 매 순간
다시금 펴보는 먼지 덮인 일기장
네가 내 옆에 있을 것만 같은 기시감
아주 잠깐 잠깐 시간을 잡아 담아
백지가 된 머릿속 매일 새겨
오늘 내일의 넌 똑같은 내 사랑

나는 상처투성이

내 영혼에 낸 Scratch
널 잊지 않을게
아물지 않게 더 찢고
파고드는 널 담고 피를 흘렸네
상상 속의 Dress
잠식해 오는 아름다웠던 그대
내 영혼에 낸 Scratch

타는 불행 속에 녹아나는 기쁨
매일 둘이 씹어 나눠 삼킨 비운
눈물 괴로움은 사랑의 곧 이유
하늘에서 버린 우린 무색의 장미 둘

아프고 앓던 가을이 왔어
정확히 여기서 널 처음 봤어
기억해 심호흡해
유일하게 같이 웃고 있던 장면
죄 없는 우리였기에
무결한 사랑이었기에
끝까지 사랑할게
떠나간 너를 위해

내 심장에 낸 Scratch
널 놓지 않을게
천년이 지나 또다시
절망의 늪이어도 너를 사랑해
윤회의 굴레
내 불운 중에 행운이었던 그대

내 심장에 낸 Scratch
내 영혼에 낸 Scratch
내 영혼에 낸 Scratch"
PSYCHO,키밤(KEEBOMB),36965237,2023.11.15,20,"우리는 모두
누군가의 꿈이었지
너의 모든 게
내가 되었지
나를 이 우울한 공상으로 빠져들 수 없게 나의 손을 잡아줘
여름밤의 꿈처럼
우린 하얗게 녹아내렸지
나의 모든 게
너를 말하네
나를 이 우울한 공상에서 깨어나게 해줘"
