Title,Singer,Song_ID,Release_Date,Like_Count,lyrics,Album,Genre
Seven (feat. Latto) - Clean Ver.,정국,36617841,2023.07.14,194484,"Weight of the world on your shoulders
I kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines
It’s the way that we can ride
It’s the way that we can ride
Think I met you in another life
So break me off another time
You wrap around me
and you give me life
And that’s why night after night
I’ll be lovin’ you right
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week
You love when I jump right in
All of me I’m offering
Show you what devotion is
Deeper than the ocean is
Wind it back I’ll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is
It’s the way that we can ride
It’s the way that we can ride
Think I met you in another life
So break me off another time
You wrap around me
and you give me life
And that’s why night after night
I’ll be lovin’ you right
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week
Tightly take control
Tightly take his soul
Take your phone
and put it in the camera roll
Leave them clothes at the door
What you waiting for,
better come and hit ya goals
He jump in it both feet
Going to the sun-up,
we ain’t getting no sleep
Seven days a week,
seven different sheets, seven different angles
I can be your fantasy
Open up say ahhh
Come here baby
let me swallow your pride
What you on I can match your vibe
Hit me up and I’mma Cha Cha Slide
You make Mondays feel like weekends
I make him never think about cheatin’
Got you skipping work and meetings,
let’s sleep in
Seven days a week
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week",Seven (feat. Latto) - Clean Ver.,댄스
"이브, 프시케 그리고 푸른 수염의 아내 (feat. UPSAHL)",LE SSERAFIM (르세라핌),36617334,2023.07.14,2882,"I’m a mess mess mess mess
mess mess mess
I’m a mess mess mess mess
mess mess mess
I’m a mess in distress
but we’re still the best dressed
Fearless say yes,
we don’t dress to impress
Tell me what you’re waiting for
Cause I know what you wanna do
Picture perfect criminal
A little foul play
won’t burn your pretty face
Know you want to keep me close
But I got places I wanna go yeah
Good and evil give me more
Never hold back, I like it like that
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
Boom boom now
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
(Push it) I wish for what’s forbidden
Get it like boom boom boom
Get it like boom boom boom
(Push it) I wish for what’s forbidden
Get it like boom boom boom
Get it like boom boom boom
I’m a mess mess mess mess
mess mess mess
I’m a mess mess mess mess
mess mess mess
I’m a mess in distress
but we’re still the best dressed
Fearless say yes,
we don’t dress to impress
I’m a mess
I’m a know it all
In a dress
But I’m not your doll
I’m poisonous
Throw a fit
Blow a kiss
And make your skin crawl
Cause if it’s gonna kill me
Least I’ll look good on the fall
Gimme blood and I’ll give you salt
Break me up and against the wall
Cause
I like it better outside my mind
It gets reckless inside my head
I’m dramatic pretty and pressed
Emotional and upset
Guess I’ll be over it when I’m dead
Baby I’m a mess
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
Boom boom now
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
(Push it) I wish for what’s forbidden
Get it like boom boom boom
Get it like boom boom boom
(Push it) I wish for what’s forbidden
Get it like boom boom boom
Get it like boom boom boom
What you waiting for?
Show me what you’re scared of
We fall fall fall
What you looking for
This is who we are now
we fall we fall we fall
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
Boom boom now
Boom boom boom
got my heartbeat pumping
Get it like boom boom boom
Get it like boom boom boom
Girl wanna have fun
Girl wanna have fun
Get it like boom boom boom
Get it like boom boom boom
Girl wanna have fun
Girl wanna have fun
Get it like boom boom boom
Get it like boom boom boom","이브, 프시케 그리고 푸른 수염의 아내 (feat. UPSAHL)",댄스
19금Seven (feat. Latto) - Explicit Ver.,정국,36617921,2023.07.14,45091,,Seven (feat. Latto) - Explicit Ver.,댄스
Seven (feat. Latto) Instrumental,정국,36617922,2023.07.14,10906,,Seven (feat. Latto) Instrumental,댄스
별(苾),원스타,36616961,2023.07.14,0,"눈앞에 비친 너의 모습 내겐 달라
긴장하던 네 표정만 난 알아
난 그런 모습이 좋아
사랑스럽게 느껴
오늘만큼은 날 찾아와줘
나도 네 마음과 같으니까
솔직하게 말해줘
날 좋아하고 있다고
거울을 보며 난 생각해
네가 날 안아주러 올 때
어떤 모습으로 내가 널
맞이하러 가게 되는지
우주를 날 것 같은 순간 너와
따뜻한 밤하늘 아래서
기다리던 이야길 듣고 안으면 안으면
너는 나만의 별 last star
오늘 내게 찾아와
나에게 고백하러 와
둘만의 우주를 만들어
이 세상 단 하나뿐이야
널 감싸주고 싶고 안고 싶어
너의 모든 것들이 좋으니까
그냥 내게 말해줘
같은 마음이라고
Oh my god 내게로 걸어와
Oh my god 내 앞에 멈춘 너
긴장하던 네 모습은 안 보여
자신 있게 내게 말을 해
거울을 보며 난 생각해
네가 날 안아주러 올 때
어떤 모습으로 내가 널
맞이하러 가게 되는지
우주를 날 것 같은 순간 너와
따뜻한 밤하늘 아래서
기다리던 이야길 듣고 안으면 안으면
너는 나만의 별 last star
오늘 내게 찾아와
나에게 고백하러 와
둘만의 우주를 만들어
이 세상 단 하나뿐이야",별(苾),"댄스, 인디음악"
이십세기 힛트쏭[여름],핫뮤직,36615957,2023.07.14,3,,이십세기 힛트쏭[여름],댄스
여름 추억 (Summer Memories),가위바위보,36615929,2023.07.14,3,"Summer time
1, 2
그녀를 만난 부산 바닷가에서
우린 그렇게 사랑을 나눴던 거야
아름다웠던 지난 여름 추억들이
너로 인해 다 잊혀진 거야
저 뜨거운 태양 아래서
나만 혼자인 오늘
나에겐 일탈이 필요해
(나 나 어디든 가야겠어)
자 친구들 어서 모여라
우릴 부르잖아
이 기회 아님 우린 못 떠나
(Yo everybody come on)
시원한 바다 바람 나를 감싸고
수많은 사람들 속에 너를 봤어
그녀를 닮은 너의 어깨 돌리니
꿈에서 찾던 나의 이상형 (그녀가 아니었어)
그녀를 만난 부산 바닷가에서
우린 그렇게 사랑을 나눴던 거야
아름다웠던 지난 여름 추억들이
너로 인해 다 잊혀진 거야
스치듯 지나간 뒷모습에서
너의 향기를 느껴
돌아서는 나의 발걸음 속에
내 맘은 두근거렸지
설레 설레 설레 그녈 붙잡아
날 쳐다보는 그 얼굴은
그녀가 아니었어
바로 꿈에 찾던 나의 이상형 yo
시원한 바다 바람 나를 감싸고
수많은 사람들 속에 너를 봤어
그녀를 닮은 너의 어깨 돌리니
꿈에서 찾던 나의 이상형 (그녀가 아니었어)
그녀를 만난 부산 바닷가에서
우린 그렇게 사랑을 나눴던 거야
아름다웠던 지난 여름 추억들이
너로 인해 다 잊혀진 거야
라라라라라 라라라라라라라
라라 라 라라라 라
라라라라라 라라라라라라라라
라라라라 라라 라
가위 바위 보",Summer Memories,"댄스, 인디음악"
I WANT,IVE (아이브),36613696,2023.07.13,43622,"예이예이예 음
시끄럽게 쌓인 생각은 접어
두근대는 리듬 즐겨 like festa
가장 좋아하는 운동화를 신고
숨차게 달려봐
대체 누가 뭐가 그리 답답한데?
원래 내일 걱정 따윈 내일모레
일어나 지도 않은 일은 몰라도 돼
그게 더 fun해
한껏 즐겨볼래 매일이 Festa
금세 짜릿하게 기분이 Up yeah
상쾌한 color마음에 파랗게 물들고 있어
시끄러운 도심도 나의 무대
두근대는 리듬 즐겨 like festa
감각들을 전부 깨워줄 순간
더 높이 뛰어봐 (oh –)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐
1 더하기 1은 그냥 2인데
뭐를 자꾸 더해 땡, Think again
새까맣게 칠했던 어제에
별빛을 뿌려
시끄러운 도심도 나의 무대
두근대는 리듬 즐겨 like festa
감각들을 전부 깨워줄 순간
더 높이 뛰어봐 (oh –)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐
It's okay to repeat
It's okay to dream
전부 특별해져 you and me, 어느새
It's okay to repeat
It's okay to dream, oh-
멈출 수 없는 이 시작을 즐겨
가장 좋아하는 색깔을 골라
감각들을 전부 깨워줄 순간
느껴봐 my festa (oh -)
하고 싶은 건 다 해도 돼
더 실컷 소리쳐 fun fun하게
가장 좋아하는 표정을 짓고
신나게 웃어봐
Yeah -",I WANT,댄스
SUMMER ISLAND,윤지성,36613596,2023.07.13,905,"넘치는 생각들 다 내려놓고서
해야 할 일들도 다 미뤄 두고서
길고 긴 시간들을 건너서
바람을 타고 날아 도착한 곳 오오
문을 열면 눈앞에 펼쳐진
에메랄드빛의 바다를 향해 달려
어느새 너와 나의 입가엔
해맑은 웃음이 퍼져나가
매일 밤 꿈꿔왔던 SUMMER ISLAND
한없이 펼쳐진 수평선 너머로
붉은 태양이 떠오르는 이곳에 걱정거리는
하나도 없어 여긴 SUMMER ISLAND
따리라 따리라
너와 나의 SUMMER ISLAND
따리라 따리라
매일이 축제일 거야
따리라 따리라
아픔도 걱정도 사라지는
너와 나만의 여긴 SUMMER ISLAND
너의 길이 가끔 지치고 힘이 들 때
그때마다 떠올려 줘 오늘을
네 삶의 기적이 돼 줄 거야
가장 빛나는 이 순간들
창문을 열어 놓고 달리면
손가락 사이로 스쳐 가는 이 공기
별자리를 조명으로 삼아
너의 두 눈에 취하는 거야
매일 밤 꿈꿔왔던 SUMMER ISLAND
한없이 펼쳐진 수평선 너머로
붉은 태양이 떠오르는 이곳에 걱정거리는
하나도 없어 여긴 SUMMER ISLAND
떠날 땐 두렵기도 했지만
멈춰 서 있을 순 없었어
내 생에 또 다른 시작을 위해 오오오
영원히 기억에 남을 것 같아
한 여름밤 잊을 수 없는 이 starlight
조금도 쉬어 본 적 없었던 삶의 선물 같은 날
자유로운 걸
매일 밤 꿈꿔왔던 SUMMER ISLAND
한없이 펼쳐진 수평선 너머로
붉은 태양이 떠오르는 이곳에 걱정거리는
하나도 없어 여긴 SUMMER ISLAND
따리라 따리라
너와 나의 SUMMER ISLAND
따리라 따리라
매일이 축제일 거야
따리라 따리라
아픔도 걱정도 사라지는
너와 나만의 여긴 SUMMER ISLAND",SUMMER ISLAND,댄스
Shut Up,손석민,36611590,2023.07.13,2,"이 세상 모든 사람이
나를 다 좋아한다는 건
불가능
언제든 어디서든
날 너무 싫어하는 사람
존재해
그 사람 나를 너무도
괴롭힌다하면
속으로 외쳐 그나마
스트레스 풀어
Shut up creazy your mouth
Bad guy
제발 그 입좀 닫아
Shut up creazy your mouth
Bad guy
나를 괴롭히지 말아
아 물론 그 말들을
입밖으로 낸다면
다른 얘긴 거야
영원히 그 사람
안 본다는 생각을 하면
시도해
현실에서는 그것이
불가능 할 거야
아무리 싫은 사람도
볼 수 밖에 없어
Shut up creazy your mouth
Bad guy
제발 그 입좀 닫아
Shut up creazy your mouth
Bad guy
나를 괴롭히지 말아
Shut up creazy your mouth
Bad guy
제발 그 입좀 닫아
Shut up creazy your mouth
Bad guy
나를 괴롭히지 말아
어쩌면 그 사람
속으로 나에게
똑같은 외침을
하고 있을 지도
Shut up creazy your mouth
Bad guy
제발 그 입좀 닫아
Shut up creazy your mouth
Bad guy
나를 괴롭히지 말아
내가 양보한다면
나아질 수 있을까
글쎄 모르겠는 걸
에라 모르겠어 정말",Shut Up,댄스
FESTIVAL,산다라박,36607917,2023.07.12,3260,"멈춰있던 날들은 멀리
환히 밝아오는 세상에 Hi
태양 위로
아찔한 Riding
높이 날아오를 준비가 된 거야
예상 못 한 속도에
가끔 겁이 날 땐 왜
설레이는 건지 (설레이지)
이제는 숨지 않을래
어두웠던 날 뒤에
지나가면 다 별거 아닌 게 될 테니
하나둘씩 켜진 Starlight
떨려오는 내 맘
시작됐어 Good Time
어젠 Goodbye
뛰어올라 소리쳐봐
이제는 웃는 거야 Smile again
행복한 순간이야 Happy days
맘껏 외쳐봐
Good I’m good
눈이 부실 매일 매일
This is my first day
Ready for a change
오늘도 행복해질 주문을 걸어
Everything I want
I’ll do
즐겨 볼래 눈 앞에 펼쳐질 내일
In or out 원하면 어디든
갈 수 있어 Come with me now
기분 좋은 날씨
예감이 좋아 왠지
꿈꾸던 날이 될 것만 같은
이 느낌을 믿어 Just do it
손에 잡힐 듯한 순간
꿈꿔왔던 대로
고민 가득했던
하룬 Goodbye
높이 날아 소리쳐봐
이제는 웃는 거야 Smile again
행복한 순간이야 Happy days
맘껏 외쳐봐
Good I’m good
눈이 부실 매일 매일
기다린 Scene
달콤한 Feelin’
내 맘 가득히 번져오니까
그 어떤 날이 와도
혼자가 아니니 I’ll be okay
La la la la la la la Smile again
La la la la la la la Happy days
맘껏 외쳐봐
Good I’m good
눈이 부실 매일 매일
This is my first day
Ready for a change
오늘도 행복해질 주문을 걸어
Everything I want
I’ll do
즐겨 볼래 눈 앞에 펼쳐질 내일",SANDARA PARK,댄스
Air Force One,ODD EYE CIRCLE (ARTMS),36607470,2023.07.12,3854,"뻔해
높은 하이힐 유리 구두
Funny
불편한 건 No
Time To Change Your Shoes
Step It Up Like Air Force One
Next Version Up Up Up
이젠 맘을 열어
Face New Universe
뛰어봐 Let’s Run Run Run
심장이 또 점점 더
Let It Fly To The Sky 우리
맞춰가 우리만의 페이스
두발엔 All White
들뜬 마음까지 다
Ready Set And Go
Dara Dara Dadada Dada Dada
Step By Step Boy
Dara Dara Dadada Dada Dada
Tell Me Your Voice
끝없이 펼쳐진 라인
이 순간 다 Let Go
Dara Dara Dadada Dada Dada
달려 Run Run
새로운 발걸음 사뿐
더 위 위 위 위로
달려 Run Run
모든 것이 변한 기분
Dara Dara Dadada Dada Dada
Run In
뛰어들어 다시 한 번
Fallin’ 점점 번져가는 새로운 Love
나의 모든 걸
던져봐 Let’s Jump Jump Jump
Next Version Up Up Up
이젠 겁내지마
Face New Universe
뛰어봐 Let’s Run Run Run
심장이 또 점점 더
Can We Write Cloud 9 Story
눈을 떠 발 밑엔 Sky
눈 부셔 이 순간 Fly
Dara Dara Dadada Dada Dada
Step By Step Boy
Dara Dara Dadada Dada Dada
Tell Me Your Voice
끝없이 펼쳐진 라인
이 순간 다 Let Go
Dara Dara Dadada Dada Dadada
맞춰가 우리만의 페이스
Dara Dara Dadada Dada Dada
두발엔 All White
들뜬 마음까지 다
Dara Dara Dadada Dada Dada
Dara Dara Dadada Dada Dada
Dara Dara Dadada Dada Dada
지금 너를 향해
달려가 다시 또
Dara Dara Dadada Dada Dada",ODD EYE CIRCLE <Version Up>,댄스
이게 사랑이지 뭐야 (feat. Paul Blanco),효린,36607685,2023.07.12,12223,"같이 가자고 말해 쉽게
뭐가 그렇게 복잡한데 왜
신경 끌려고 애써도 안돼
몇 번을 얼마나
더 말해줘야 내 말을 믿을래?
Girl I know whats on your mind
I know it
But 이 느낌 올 때마다 위험해
사랑 같은 건 안 하기로 했어 난 다시는
Don't make me wanna fall in love again
나다운 게 잘못일 때가 많아
너와 같은 말을 하고 다 떠나가서
떠나야 소중함을 느낄 편이라서
이번에도 역시 널 놓칠 것만 같아
Do I need ya (oh oh oh oh oh)
Do I want you (oh oh oh oh oh)
Can you tell me
If I need you
Do I really
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
oh no oh oh
If it's love? It's love!
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
Oh no oh oh
If it's love? It's love!
이게 사랑이지 뭐야
너가 없는 이 집에 고요함은 시끄러워
나도 모르게 널 생각해 oh no
보고 싶어 한 마디면
I'll come and give you all this love
I don't know but
이거 하나는 알아
널 놓치게 되면 난 또
Are you a 바보
mm
I know
내가 니가 좋다잖아
Do I need ya (oh oh oh oh oh)
Do I want you (oh oh oh oh oh)
Can you tell me
If I need you
Do I really
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
Oh no oh oh
If it's love? It's love!
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
Oh no oh oh
If it's love? It's love!
이게 사랑이지 뭐야
Oh oh oh oh oh inside
Oh oh oh oh oh This love
Oh oh oh oh oh inside, This love
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
Oh no oh oh
If it's love? It's love!
널 사랑 안 한다
사랑한다
널 사랑 안 한다
사랑한다
Oh 널 사랑해
I don't know oh oh
Oh no oh oh
If it's love? It's love!
이게 사랑이지 뭐야",이게 사랑이지 뭐야,댄스
바람,코요태,36607261,2023.07.12,2761,"이름을 부른 순간
나에게 와 꽃이 돼준 너
어여쁜 니가 이젠
날카로운 가시가 돼버렸어
하루가 멀다 하고 참 많이 다퉜지
그 날들은 이젠 안녕
사랑은 사랑으로 잊어갈거야
난 다시 웃을거야
바람아 불어라 나를 데려가 저 하늘
내 새로운 님 계신 그 곳으로
내일은 내일의 내게 주면 돼
오늘만 사는거야 저 끝까지
Oh my god 날 두고 떠나 가
버려 또 버려진 채
남겨진 내 마음을 왜 외면한 채
저 바람속에 우리의 날들 하고픈 말들
지난 기억들 저 멀리멀리 날아가
저 멀리 더 멀리 가
트라랄랄라 트랄라랄랄라
트라랄랄라 나를 데려간 바람
트라랄랄라 트랄라랄랄라
트라랄랄라 너를 데려온 바람
아침이면 후회를
어쩌면 더 그리울거야
그까짓 정때문에
취해야만 잠들 수 있었어
하루가 멀다 하고 참 많이 울었지
그 눈물은 이젠 안녕
사람은 사람으로 지워갈거야
난 다시 웃을거야
바람아 불어라 나를 데려가 저 하늘
내 새로운 님 계신 그 곳으로
내일은 내일의 내게 주면 돼
오늘만 사는거야 저 끝까지
트라랄랄라 트랄라랄랄라
트라랄랄라 나를 데려간 바람
트라랄랄라 트랄라랄랄라
트라랄랄라 너를 데려온 바람
결국 시간이 지나가면 전부 그렇고 그래
영원한 사랑은 없어
눈물이 나겠지만 거기까지
바람아 불어 날 데려다주렴
내 새로운 님 계신 그 곳으로
슬픔은 내일의 내게 주면 돼
오늘은 잊는거야 저 끝까지
트라랄랄라 (Over now)
트랄라랄랄라 (You&I)
트라랄랄라나를 데려간 바람 (저 멀리멀리 더 멀리 가)
트라랄랄라 (And you bye)
트랄라랄랄라 (And bad bye)
트라랄랄라
너무 위험한 사랑",바람,댄스
WANNABE,리이나 (하이키),36608245,2023.07.12,382,"잔소리는 Stop it 알아서 할게
내가 뭐가 되든 내가 알아서 할 테니까 좀
I do what I wanna
평범하게 살든 말든 내버려 둘래?
어차피 내가 살아 내 인생 내거니까
I'm so bad bad 차라리 이기적일래
눈치 보느라 착한 척
상처받는 것보다 백번 나아
I'm just on my way
간섭은 No No 해
말해버릴지도 몰라 너나 잘하라고
누가 뭐라 해도 난 나야
난 그냥 내가 되고 싶어
I wanna be me, me, me
굳이 뭔가 될 필요는 없어
난 그냥 나일 때 완벽하니까
I wanna be me, me, me
I don't wanna be somebody
Just wanna be me, be me
I wanna be me, me, me
I don't wanna be somebody
Just wanna be me, be me
I wanna be me, me, me
No matter if you love me or hate me
뭐가 궁금해 let me explain it
이래라 저래라 모두 한마디씩
(Don't touch me)
Ah yeah yeah yeah yeah yeah
내 앞가림은 내가 해
여긴 나의 stage 난 queen maker
What you want for me? Just clout chaser
사람들은 남 말 하기를 좋아해
남의 인생에 뭔 관심이 많아 왜
저기 미안하지만 신경 좀 꺼줄래요
It's none of your business
I do my own business
누가 뭐라 해도 난 나야
난 그냥 내가 되고 싶어
I wanna be me, me, me
굳이 뭔가 될 필요는 없어
난 그냥 나일 때 완벽하니까
I wanna be me, me, me
Hi this is Sang Ah hold up
탐스러운 나의 향에 전부 홀려
빠져버렸니 널 온통 물들여 빨갛게
cross the line 너도 날 따라해 (whoo)
Arrows always miss my target
굳이 변명 따윈 안해 그게 바로 나기에
I’m the baddest woman In the world (uh)
Whenever Do you wannabe me?
Hey! Hey!
I wanna be me, me, me
I wanna be me, me, me
I wanna be me, me, me
I wanna be me, me, me
I wanna be me, me, me
누가 뭐라 해도 난 나야 (yeah~)
난 그냥 내가 되고 싶어
I wanna be me, me, me
굳이 뭔가 될 필요는 없어
난 그냥 나일 때 완벽하니까
I wanna be me, me, me
I don't wanna be somebody
Just wanna be me, be me (Oh~)
I wanna be me, me, me
I don't wanna be somebody
Just wanna be me, be me
I wanna be! I wanna be!
I wanna be me, me, me",퀸덤퍼즐 ALL-ROUNDER BATTLE 1,댄스
너 뭐 돼?,CHANEW,36608065,2023.07.12,6,"그만 놀았으면 됐다는 그 말
그만 즐겼으면 됐어
날 찌르는 네 Fact
(Because I'm no more that. And no more bet)
그만큼만큼만 그만, 더는 넌 어린애 아니야
(You never know)
어슬렁 어슬렁 서성거려
거슬려 영 거슬려 너
어슬렁 거슬려 You, younger?
나에겐 나이일 뿐이야
너 뭐 돼? 나 뭐 돼? 난 못된 나
넌 못돼 본 나이를 가진 나
너 뭐 돼? 나 뭐 돼? No More Bet!
(내게 그만하란 말은 좀 넣어둬)
나이 드는 곱게 나이 드는 곱게 나이 드는 나이라
나 지금 뭐 돼!
You better know that. You better know
이렇다 할 Back도 Vision도,
나의 나이에 나이를 더하니 시체,
살짝 던진 농담도 주책,
진심의 격려도 싫대는 나의 존재의 실태
힘 꽉 준 Fashion도 손가락질 얻어먹어,
진단도 해 어슬렁 Personal의 Color
Brown은 기피하고 Khaki Deep한 Gray에 Blue섞인 가을Warm
하지만 중요했던건 꺾이지 않는 나이
어슬렁 어슬렁 서성거려
거슬려 영 거슬려 너
어슬렁 거슬려 You, younger?
나에겐 나이일 뿐이야
너 뭐 돼? 나 뭐 돼? 난 못된 나
넌 못돼 본 나이를 가진 나
너 뭐 돼? 나 뭐 돼? No More Bet!
(내게 그만하란 말은 좀 넣어둬)
나이 드는 곱게 나이 드는 곱게 나이 드는 나이라
나 지금 뭐 돼!
You better know that.
You better know
Come come to the way back,
Come come find my way back
Come come to the way back,
You know
(내 이야긴 아닐꺼야)
Come come to the way back,
Come come find my way back
Come come to the way back,
You know
(내게 돌아가란 말은좀 넣어둬)
나이 드는 곱게 나이 드는 곱게 나이 드는 나이라
나 지금 뭐 돼!
Because I'm no more that.
And no more bet.",잘못잃어나는,댄스
One and Only,ENHYPEN,36607248,2023.07.12,3394,"하늘은 so clear
공기는 tastes so sweet
Come ride with me (ahh)
매일이 new day
평범한 하루가 좀 특별 해져
When you're with me
You make me
Jump and run!
늘 함께할 수 있어서
Exciting mode
지금 내 곁에 네가 있어서
Through the dark yeah
시작됐어 adventure
Come take my hand
온 세상이 beautiful
It's so wonderful
하루하루 커져가는 떨림
더 기대돼 more and more
눈을 감아도 펼쳐져
You're my one and only
You're my one and
On-on-on-on-on-on-only
On-on-only one
You're my one and
On-on-on-on-on-on-only one
함께면 행복하지
Only one
눈빛만 봐도 맘이 통해 (맘이 통해 baby)
Uh 널 만났다는 게 난 lucky
그 누구도 몰라 더 재밌지 않니?
내 지루한 하루 또 이틀
Yeah 짜릿해져 가
You make me
Jump and run!
늘 함께할 수 있어서
Exciting mode
지금 내 곁에 네가 있어서
Through the dark yeah
이어지는 adventure
Come take my hand baby
온 세상이 beautiful
It's so wonderful
하루하루 커져가는 떨림
더 기대돼 more and more
눈을 감아도 펼쳐져
You're my one and only
You're my one and
On-on-on-on-on-on-only
On-on-only one
You're my one and
On-on-on-on-on-on-only one
함께면 행복하지
Only one
Under the stars
I wish you a sweet dream yeah
행복한 밤
함께인 걸 우리는 영원해
온 세상이 beautiful
It's so wonderful
하루하루 커져가는 떨림
더 기대돼 more and more
눈을 감아도 펼쳐져
You're my one and only
You're my one and
On-on-on-on-on-on-only
On-on-only one
You're my one and
On-on-on-on-on-on-only one
함께면 행복하지
Only one",One and Only,댄스
Party O'Clock,NMIXX,36582899,2023.07.11,21150,"It’s party time
별이 깨어나는 까만 여름밤
It’s party time
너의 잠을 훔쳐 떠나 we go far
한 여름밤
숲속의 이야기를 만들어봐
Right here, just you and I (ahh)
터뜨려 Fireworks
신비한 일들이 일어날 거야
(Hey, buckle up, get ready, get ready to dance!)
눈을 맞춰
저 달이 반쯤 잠이 든 지금 이 순간
(Hey, buckle up, get ready, get ready to dance!)
이 숲속을
떠도는 hitchhiker
데려갈게
네가 원하는 location
Hey! 여기 이 순간에
Hey! The world just stop spinning
Hey! 끝이 없는 밤
Mixx it up, go!
Come on over right now
Come on over right now
Cuz party is not a party without you
Hurry up, join the party!
Waiting for you right now
Waiting for you right now
마법에 걸린 밤 꿈을 꿔 우린
You know that
Beep-beep Jingling Jingling
Keep-keep mingling mingling
You are my answer tonight (Don’t stop)
Beep-beep Jingling Jingling
Keep-keep mingling mingling
I’ll be your answer tonight (Don’t stop)
하나둘 모여들어 이건 party invitation
머리 위로 흩날리는 confetti
Get ready, celebration!
시작해 parade 우리의
Walking down Dream Avenue
꽃들의 환호 소리에 feeling so untrue
이 숲속에
자, 별가루를 뿌려
더 가볼게
닿지 못할 달의 station
Hey! Show your Face ID
Hey! Eye to eye with me
Hey! It’s unlocked baby
Swipe up, let’s go!
Come on over right now
Come on over right now
Cuz party is not a party without you
Hurry up, join the party!
Waiting for you right now
Waiting for you right now
마법에 걸린 밤 꿈을 꿔 우린
You know that
Beep-beep Jingling Jingling
Keep-keep mingling mingling
You are my answer tonight (Don’t stop)
Beep-beep Jingling Jingling
Keep-keep mingling mingling
I’ll be your answer tonight
NMIXX!
It’s party time
별이 깨어나는 까만 여름밤
It’s party time
너의 잠을 훔쳐 떠나 we go far
한 여름밤
숲속의 이야기를 만들어봐
Right here, just you and I
Cuz with you, it’s a party
It’s a party, every time when you’re next to me
So now it’s a party tonight
It’s a party, every time when you’re next to me
So now it’s a party tonight
Come on over right now
Come on over right now
Cuz party is not a party without you
Hurry up, join the party!
(It’s not a party without you)
Waiting for you right now
Waiting for you right now
마법에 걸린 밤 꿈을 꿔 우린
You know that
(It’s not a party)",A Midsummer NMIXX’s Dream,댄스
